id_category,all_category,background_url,description
CCNCAT0000,Cây Cảnh Để Bàn,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-canh-de-ban.jpg,"Đặt thêm một chậu cây để bàn làm việc giúp mang lại cảm giác thoải mái, giảm áp lực, stress nên có thể chữa được bệnh trầm cảm."
CCNCAT0001,Cây Cảnh Văn Phòng,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-canh-van-phong.jpg,"Việc trồng thêm cây xanh trong văn phòng là một cách bảo vệ sức khỏe thiết thực, bởi môi trường văn phòng thường kín và tồn tại nhiều chất khí độc hại. Hãy cùng MOW Garden xây dựng một môi trường làm việc lành mạnh để công việc luôn được thuận lợi."
CCNCAT0002,Cây Lọc Không Khí,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-loc-khong-khi.jpg,"Khả năng hấp thụ các loại chất khí độc hại có trong không khí của cây xanh sẽ giúp bầu không khí trong nhà trở nên trong lành và an toàn hơn, giúp bảo vệ sức khỏe của các thành viên trong gia đình. Những loại chất khí độc hại như benzene, formaldehyde, trichloroethylene, xylene, and toluene."
CCNCAT0003,Cây Phong Thủy,https://mowgarden.com/wp-content/uploads/2023/04/cay-phong-thuy-de-trong-nha.jpg,"Cây xanh luôn có vai trò quan trọng đối với đời sống hàng ngày. Do đó, việc lựa chọn loại cây và vị trí trồng được chú trọng và lựa chọn cẩn thận theo những quy luật của thuật phong thủy. Cây xanh được chia thành âm dương và ngũ hành, tùy vào mỗi gia chủ mà lựa chọn loại cây cảnh phù hợp với mình."
CCNCAT0004,Cây Trong Nhà,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-canh-trong-trong-nha.jpg,Giúp cho ngôi nhà của bạn thêm tươi mới và xanh với những sản phẩm cây trong nhà của MOW Garden. Thật tuyệt vời mang đến cho bạn những phút giây thư giãn bên canh nhữngsản phẩm cây xanh chất lượng.
CCNCAT0005,Cây Cần Ít Ánh Sáng,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-can-it-anh-sang.jpg,"Đa phần các loài thực vật trong tự nhiên đều cần tới ánh sáng để chúng quang hợp, một số thì cần nhiều, và cũng có một số cần rất ít ánh sáng. Chúng ta lựa chọn các loại cây cần ít ánh sáng vì khi đặt trong nhà thì nguồn sáng sẽ bị hạn chế, không như ánh sáng ngoài trời."
CCNCAT0006,Cây Dễ Trồng Trong Nhà,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-de-trong-trong-nha.jpg,"Đa phần các loại cây trồng được trong nhà đều thuộc loại dễ chăm sóc. Nếu như bạn không có nhiều thời gian thì hãy lựa chọn các loại cây có sức sống tốt, chúng có thể chịu được hạn, cần ít ánh sáng và không cần phải bón phân thường xuyên."
CCNCAT0007,Cây Trong Phòng Khách,,
CCNCAT0008,Cây Trong Bếp & Nhà Tắm,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-canh-trong-phong-bep.jpg,"Với sắc xanh từ cây, không gian bí bức và nóng nực của những gian bếp như được làm dịu mát lại. Đây cũng là một giai pháp khử mùi và thanh lọc không khí rất hiệu quả, hơn nữa cây xanh còn giúp tăng tính thẩm mỹ cho khu vực bếp và phòng ăn"
CCNCAT0009,Cây Trang Trí Nhà Cửa,,
