POTID,CODE,URL,TIÊU ĐỀ,GIÁ,MÔ TẢ,CHẤT LIỆU,KIỂU DÁNG,GIA CỐ,QUY CÁCH SẢN PHẨM (RXC),TRỌNG LƯỢNG,MÀU SẮC,HOA VĂN,HỌA TIẾT,KÍCH THƯỚC,KÍCH THƯỚC 1 GL,KÍCH THƯỚC 3 GL,KÍCH THƯỚC 5 GL,KÍCH THƯỚC 7 GL,KÍCH THƯỚC 2 GL,KÍCH THƯỚC 4 GL,KÍCH THƯỚC 6 GL,KÍCH THƯỚC MIỆNG CHẬU,KÍCH THƯỚC ĐÁY CHẬU,CHIỀU CAO CHẬU,CHIỀU DÀI DÂY CHẬU,CÂN NẶNG,QUY CÁCH SẢN PHẨM,DUNG TÍCH
CCNPOT0000,XMDM018,https://mowgarden.com/chau-da-mai-granito-dang-tru-vot-mau-trang-xmdm018/,Chậu đá mài Granito dáng trụ vót màu trắng XMDM018,340000,,Bê tông sợi,Remy (Trụ bo tròn),"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt",38x55x20 / 45x60x25 (DxC) (cm),/  (kg),Màu trắng,Granito / Tezzo,,,,,,,,,,,,,,,,
CCNPOT0001,XMDM017,https://mowgarden.com/chau-xi-mang-hinh-tru-vuong-van-soc-ngang-mau-den-xmdm017/,Chậu xi măng hình trụ vuông vân sọc ngang màu đen XMDM017,500000,,Bê tông sợi,Remy (Trụ bo tròn),"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt",30×58 (cm),22  (kg),Màu trắng,Granito / Tezzo,,,,,,,,,,,,,,,,
CCNPOT0002,GOSU059,https://mowgarden.com/chau-gom-su-hinh-tru-hoa-tiet-geometric-gosu059/,Chậu gốm sứ hình trụ họa tiết Geometric GOSU059,80000,"Chậu gốm sứ hình trụ mang vẻ đẹp nổi bật bởi những đường nét hình học thú vị, chặt chẽ và thống nhất. Nét đẹp mang phong cách Geometric của chậu gốm sẽ là điểm nhấn tuyệt vời cho không gian sống, và là một “ngôi nhà” xinh xẻo cho ‘chiếc cây’ xanh xanh của bạn.",Gốm sứ,,,,,Màu trắng,,Trơn,13×13 / 20×18 / 25×24 cm (DxC),,,,,,,,,,,,,,
CCNPOT0003,GOSU057,https://mowgarden.com/chau-gom-su-hoa-tiet-la-monstera-co-dia-gosu057/,Chậu gốm sứ họa tiết lá Monstera có dĩa GOSU057,20000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Gốm sứ,,,,,Màu trắng,,Trơn,11×10 / 14×13 / 17x16cm (DxC),,,,,,,,,,,,,,
CCNPOT0004,GOSU056,https://mowgarden.com/chau-gom-su-hoa-tiet-hoa-mau-trang-co-dia-gosu056/,Chậu gốm sứ họa tiết hoa màu trắng có dĩa GOSU056,20000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Gốm sứ,,,,,Màu trắng,,Trơn,10×9 / 14×13 / 17x16cm (DxC),,,,,,,,,,,,,,
CCNPOT0005,GOSU055,https://mowgarden.com/chau-gom-su-vien-hoa-cuc-co-dia-mau-trang-gosu055/,Chậu gốm sứ viền hoa cúc có dĩa màu trắng GOSU055,20000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Gốm sứ,,,,,Màu trắng,,Trơn,10×8.5 / 14×11.5 / 17×13.5cm (DxC),,,,,,,,,,,,,,
CCNPOT0006,GOSU054,https://mowgarden.com/chau-gom-su-hinh-tru-trung-mau-trang-gosu054/,Chậu gốm sứ hình trụ trứng màu trắng GOSU054,80000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Gốm sứ,,,,,Màu trắng,,Trơn,"16×16 / 22,5×22,5 / 30x30cm (DxC)",,,,,,,,,,,,,,
CCNPOT0007,GOSU053,https://mowgarden.com/chau-gom-su-hinh-khoi-van-gon-song-mau-trang-gosu053/,Chậu gốm sứ hình khối vân gợn sóng màu trắng GOSU053,80000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Gốm sứ,,,,,Màu trắng,,Gân sóng,15x15cm / 20×20 / 25×25 (DxC),,,,,,,,,,,,,,
CCNPOT0008,GOSU052,https://mowgarden.com/chau-gom-su-tru-tron-hoa-tiet-ke-soc-mau-trang-gosu052/,Chậu gốm sứ trụ tròn họa tiết kẻ sọc màu trắng GOSU052,100000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Gốm sứ,,,,,Màu trắng,,Ô vuông nổi,20x18cm / 25×22 / 30×25 (DxC),,,,,,,,,,,,,,
CCNPOT0009,XMDM015,https://mowgarden.com/chau-da-mai-granito-dang-remy-mau-trang-xmdm015/,Chậu đá mài Granito cao cấp dáng Remy màu trắng XMDM015,360000,,Bê tông sợi,Remy (Trụ bo tròn),"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt",43×38 / 30×27 (cm),/  (kg),Màu trắng,Granito / Tezzo,,,,,,,,,,,,,,,,
