PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0000,TUBO005,https://mowgarden.com/cay-tung-bong-lai-tieu-canh-chau-su-tho-cam-tubo005/,Cây tùng bồng lai tiểu cảnh chậu sứ thổ cẩm TUBO005,Podocarpus macrophyllus,Cây tùng bồng lai,500000,"Cây Tùng Bông Lai là một loài cây mang vẻ đẹp trang nhã, với tán lá dầy xanh mướt trông giống như những đám mây và có kích thước nhỏ gọn nên rất thích hợp để bàn làm việc. Chúng là loài cây dễ trồng nên không cần phải tốn công chăm sóc, tuy nhiên cần đặt tại nơi có nhiều ánh sáng.
*Giá bao gồm chậu, đĩa lót và sỏi rải mặt","• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 50 cm
• Độ rộng tán: 30 cm",Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 1-2 lần/tuần,,,,,,,
CCNPLT0001,CPTK001,https://mowgarden.com/cay-phat-tai-bo-5-cay-thiet-moc-lan-cptk001/,Cây phát tài bộ 5 – Cây thiết mộc lan CPTK001,Dracaena fragrans,Phát tài bộ – Thiết Mộc lan,750000,"Cây phát tài bộ còn được biết đến với tên gọi khác là cây thiết mộc lan. Loài cây nội thất được đánh giá là đem lại nhiều sinh khí, may mắn và thịnh vượng cho gia chủ, nhất là khi cây nở hoa là dấu hiệu tiền tài đang đến với bạn. Hơn nữa, nếu bạn đặt cây theo hướng Đông hay Đông Nam của ngôi nhà thì sẽ đem tới nhiều may mắn bởi cây là đại diện cho hành Mộc.","• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0002,LONI040,https://mowgarden.com/cay-kim-ngan-ba-than-de-ban-chau-su-gau-bearbrick-loni040/,Cây kim ngân ba thân để bàn chậu sứ gấu BearBrick LONI040,Pachira aquatica,Cây kim ngân,280000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.","• Kích thước chậu: 12×8 (DxC)
• Chiều cao tổng: 25cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0003,PHIG006,https://mowgarden.com/cay-trau-ba-de-vuong-xanh-chau-mat-cool-imperial-green-chau-su-phig006/,Cây trầu bà đế vương xanh chậu mặt cool ‘Imperial Green’ chậu sứ PHIG006,Philodendron Imperial Green,Trầu bà đế vương xanh,120000,"Trầu Bà Đế Vương Xanh (Philodendron Imperial Green) là một giống cây rất ưu chuộng để trồng với ý nghĩa phong thủy mà nó mang lại. Nên đặt cây tại các vị trí như trong phòng khách, phòng làm việc, văn phòng hoặc sảnh ra vào cơ quan.",,Rất dễ chăm sóc,Nắng tán xạ,Tưới nước 3 – 5 lần/tháng,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm",,,,,,
CCNPLT0004,,https://mowgarden.com/cay-co-lan-chi-de-ban-chau-su-mat-cuoi-spi004/,Cây cỏ lan chi để bàn chậu sứ mặt cười SPI004,Chlorophytum laxum,Cây cỏ lan chi / cây dây nhện,120000,"Cỏ Lan Chi (hay còn gọi là Cỏ Nhện) là loại cây rất dễ sống với điều kiện khí hậu nóng tại Việt Nam. Đặc biệt, nó nằm trong top các loại cây lọc không khí rất hiệu quả, có thể đặt trong phòng ngủ giúp bạn có giấc ngủ trong lành hơn.",,Rất dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 30 cm,,,,,,
CCNPLT0005,PHIR008,https://mowgarden.com/cay-trau-ba-de-vuong-do-de-ban-red-rojo-chau-su/,Cây trầu bà đế vương đỏ để bàn ‘Red Rojo’ chậu sứ PHIR008,Philodendron Imperial Red,Trầu bà đế vương đỏ,350000,"Thân dạng thảo lớn, trong tự nhiên cây có thể leo được, nhưng đa số khi trồng chậu thì thân vươn thẳng chắc chắn, cao khoảng dưới 1m5.","• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 30 cm
• Độ rộng tán: 25 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0006,STBS001,https://mowgarden.com/cay-luoi-ho-bantel-sensation-chau-uom-stbs001/,Cây lưỡi hổ Bantel Sensation chậu ươm STBS001,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,160000,"Lưỡi hổ Thái xanh mini là dòng lưỡi hổ nhỏ để bàn, có chiều cao tối đa khoảng 20cm, không có nhiều vằn như những loại lưỡi hổ khác, nhưng nó lại sở hữu bộ lá màu xanh đậm ấn tượng, mang lại nét ‘cứng cáp’ tự nhiên cho không gian. Chúng rất thích hợp để trên bàn làm việc, kệ trang trí hoặc làm quà tặng.",• Chiều cao: 30 – 45 cm,Dễ chăm sóc,Ánh sáng tán xạ / Chịu bóng râm tốt,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0007,RADE033,https://mowgarden.com/cay-hanh-phuc-de-san-2-tang-lon-chau-da-mai-rade033/,Cây hạnh phúc để sàn 2 tầng lớn chậu đá mài RADE033,Radermachera Sinica,Cây hạnh phúc,1200000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 30x34cm (DxC)
• Chiều cao tổng: 150cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0008,CTBC007,https://mowgarden.com/cay-trau-ba-cot-chau-xi-mang-tru-vuong-ctbc007/,Cây trầu bà cột chậu xi măng trụ vuông CTBC007,Epipremnum aureum,Trầu bà xanh,1100000,"Có tác dụng thanh lọc không khí trong nhà mà còn chứa đựng ý nghĩa phong thủy rất tốt, mang dáng vẻ thanh lịch và sang trọng.","• Chiều cao 130 – 140 cm
• Kích thước chậu: 30x58cm (DxC)",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0009,ANTH010,https://mowgarden.com/cay-hong-mon-co-nho-chau-su-trang-anth010/,Cây hồng môn cỡ nhỏ chậu sứ trắng ANTH010,Anthurium andreanum,Cây hồng môn,240000,"Cây hồng môn được biết tới là một loại cây cảnh mang lại điều tốt lành, có thể giúp điều hòa khí phong thủy trong nhà, có khả năng thu hút những dòng khí tích cực và làm tiêu bớt dòng khí tiêu cực cho môi trường xung quanh, trồng cây hồng môn trong nhà sẽ giúp không gian sống trở nên hài hòa và bình yên hơn.","• Kích thước chậu: 14×11.5 cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
