PLANTID,ATTID,VALUE
CCNPLT0000,CCNATT0000,Podocarpus macrophyllus
CCNPLT0000,CCNATT0001,Cây tùng bồng lai
CCNPLT0000,CCNATT0002,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 50 cm
• Độ rộng tán: 30 cm"
CCNPLT0000,CCNATT0003,Trung bình
CCNPLT0000,CCNATT0004,Nắng trực tiếp / nắng tán xạ
CCNPLT0000,CCNATT0005,Tưới nước 1-2 lần/tuần
CCNPLT0001,CCNATT0000,Dracaena fragrans
CCNPLT0001,CCNATT0001,Phát tài bộ – Thiết Mộc lan
CCNPLT0001,CCNATT0002,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm"
CCNPLT0001,CCNATT0003,Dễ chăm sóc
CCNPLT0001,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0001,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0002,CCNATT0000,Pachira aquatica
CCNPLT0002,CCNATT0001,Cây kim ngân
CCNPLT0002,CCNATT0002,"• Kích thước chậu: 12×8 (DxC)
• Chiều cao tổng: 25cm"
CCNPLT0002,CCNATT0003,Dễ chăm sóc
CCNPLT0002,CCNATT0004,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát
CCNPLT0002,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0003,CCNATT0000,Philodendron Imperial Green
CCNPLT0003,CCNATT0001,Trầu bà đế vương xanh
CCNPLT0003,CCNATT0003,Rất dễ chăm sóc
CCNPLT0003,CCNATT0004,Nắng tán xạ
CCNPLT0003,CCNATT0005,Tưới nước 3 – 5 lần/tháng
CCNPLT0003,CCNATT0006,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm"
CCNPLT0004,CCNATT0000,Chlorophytum laxum
CCNPLT0004,CCNATT0001,Cây cỏ lan chi / cây dây nhện
CCNPLT0004,CCNATT0003,Rất dễ chăm sóc
CCNPLT0004,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0004,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0004,CCNATT0006,Chiều cao 30 cm
CCNPLT0005,CCNATT0000,Philodendron Imperial Red
CCNPLT0005,CCNATT0001,Trầu bà đế vương đỏ
CCNPLT0005,CCNATT0002,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 30 cm
• Độ rộng tán: 25 cm"
CCNPLT0005,CCNATT0003,Dễ chăm sóc
CCNPLT0005,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0005,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0006,CCNATT0000,Sansevieria ‘hahnii’ Black Gold
CCNPLT0006,CCNATT0001,Cây lưỡi hổ Thái xanh
CCNPLT0006,CCNATT0002,• Chiều cao: 30 – 45 cm
CCNPLT0006,CCNATT0003,Dễ chăm sóc
CCNPLT0006,CCNATT0004,Ánh sáng tán xạ / Chịu bóng râm tốt
CCNPLT0006,CCNATT0005,Thay nước 2 – 3 lần/tháng
CCNPLT0007,CCNATT0000,Radermachera Sinica
CCNPLT0007,CCNATT0001,Cây hạnh phúc
CCNPLT0007,CCNATT0002,"• Kích thước chậu: 30x34cm (DxC)
• Chiều cao tổng: 150cm"
CCNPLT0007,CCNATT0003,Dễ chăm sóc
CCNPLT0007,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0007,CCNATT0005,Tưới nước 2 – 3 lần/tuần
CCNPLT0008,CCNATT0000,Epipremnum aureum
CCNPLT0008,CCNATT0001,Trầu bà xanh
CCNPLT0008,CCNATT0002,"• Chiều cao 130 – 140 cm
• Kích thước chậu: 30x58cm (DxC)"
CCNPLT0008,CCNATT0003,Dễ chăm sóc
CCNPLT0008,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
CCNPLT0008,CCNATT0005,Tưới nước 3 – 4 lần/tuần
CCNPLT0009,CCNATT0000,Anthurium andreanum
CCNPLT0009,CCNATT0001,Cây hồng môn
CCNPLT0009,CCNATT0002,"• Kích thước chậu: 14×11.5 cm (DxC)
• Chiều cao tổng: 30 – 40cm"
CCNPLT0009,CCNATT0003,Dễ chăm sóc
CCNPLT0009,CCNATT0004,Nắng tán xạ / Chịu râm mát
CCNPLT0009,CCNATT0005,Tưới nước 2 – 3 lần/lần
CCNPLT0010,CCNATT0000,Scheffera Octophylla
CCNPLT0010,CCNATT0001,Ngũ gia bì cẩm thạch
CCNPLT0010,CCNATT0002,Chiều cao tổng: 40 cm
CCNPLT0010,CCNATT0003,Dễ chăm sóc
CCNPLT0010,CCNATT0004,"Nắng tán xạ, chịu được nắng trực tiếp"
