PLANTID,TÊN KHOA HỌC,TÊN GỌI,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0000,Podocarpus macrophyllus,Cây tùng bồng lai,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 50 cm
• Độ rộng tán: 30 cm",Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 1-2 lần/tuần,,,,,,,
CCNPLT0001,Dracaena fragrans,Phát tài bộ – Thiết Mộc lan,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0002,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 12×8 (DxC)
• Chiều cao tổng: 25cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0003,Philodendron Imperial Green,Trầu bà đế vương xanh,,Rất dễ chăm sóc,Nắng tán xạ,Tưới nước 3 – 5 lần/tháng,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm",,,,,,
CCNPLT0004,Chlorophytum laxum,Cây cỏ lan chi / cây dây nhện,,Rất dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 30 cm,,,,,,
CCNPLT0005,Philodendron Imperial Red,Trầu bà đế vương đỏ,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 30 cm
• Độ rộng tán: 25 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0006,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,• Chiều cao: 30 – 45 cm,Dễ chăm sóc,Ánh sáng tán xạ / Chịu bóng râm tốt,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0007,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 30x34cm (DxC)
• Chiều cao tổng: 150cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0008,Epipremnum aureum,Trầu bà xanh,"• Chiều cao 130 – 140 cm
• Kích thước chậu: 30x58cm (DxC)",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0009,Anthurium andreanum,Cây hồng môn,"• Kích thước chậu: 14×11.5 cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0010,Scheffera Octophylla,Ngũ gia bì cẩm thạch,Chiều cao tổng: 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0011,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 60cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0012,Livistona chinensis,Cọ lá xẻ,"• Kích thước chậu: 14x14cm (DxC)
• Chiều cao chậu + cây: 25cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0013,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 120cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0014,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 23x23cm (DxC)
• Chiều cao tổng: 80-100cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0015,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 60cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
