CATEGORYID,PLANTID,CATEGORY
CCNCAT0000,CCNPLT0000,Cây Cảnh Để Bàn
CCNCAT0001,CCNPLT0000,Cây Cảnh Văn Phòng
CCNCAT0002,CCNPLT0000,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0000,Cây Phong Thủy
CCNCAT0004,CCNPLT0000,Cây Trong Nhà
CCNCAT0001,CCNPLT0001,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0001,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0001,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0001,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0001,Cây Phong Thủy
CCNCAT0004,CCNPLT0001,Cây Trong Nhà
CCNCAT0007,CCNPLT0001,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0002,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0002,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0002,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0002,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0002,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0002,Cây Phong Thủy
CCNCAT0004,CCNPLT0002,Cây Trong Nhà
CCNCAT0000,CCNPLT0003,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0003,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0003,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0003,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0003,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0003,Cây Phong Thủy
CCNCAT0008,CCNPLT0003,Cây Trong Bếp & Nhà Tắm
CCNCAT0004,CCNPLT0003,Cây Trong Nhà
CCNCAT0004,CCNPLT0004,Cây Trong Nhà
CCNCAT0005,CCNPLT0004,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0004,Cây Cảnh Văn Phòng
CCNCAT0000,CCNPLT0004,Cây Cảnh Để Bàn
CCNCAT0006,CCNPLT0004,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0004,Cây Phong Thủy
CCNCAT0001,CCNPLT0005,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0005,Cây Cần Ít Ánh Sáng
CCNCAT0000,CCNPLT0005,Cây Cảnh Để Bàn
CCNCAT0006,CCNPLT0005,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0005,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0005,Cây Phong Thủy
CCNCAT0009,CCNPLT0005,Cây Trang Trí Nhà Cửa
CCNCAT0004,CCNPLT0005,Cây Trong Nhà
CCNCAT0007,CCNPLT0005,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0006,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0006,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0006,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0006,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0006,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0006,Cây Phong Thủy
CCNCAT0004,CCNPLT0006,Cây Trong Nhà
CCNCAT0007,CCNPLT0006,Cây Trong Phòng Khách
CCNCAT0001,CCNPLT0007,Cây Cảnh Văn Phòng
CCNCAT0005,CCNPLT0007,Cây Cần Ít Ánh Sáng
CCNCAT0006,CCNPLT0007,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0007,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0007,Cây Phong Thủy
CCNCAT0004,CCNPLT0007,Cây Trong Nhà
CCNCAT0007,CCNPLT0007,Cây Trong Phòng Khách
CCNCAT0004,CCNPLT0008,Cây Trong Nhà
CCNCAT0005,CCNPLT0008,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0008,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0008,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0008,Cây Phong Thủy
CCNCAT0007,CCNPLT0008,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0008,Cây Trước Cửa & Hành Lang
CCNCAT0000,CCNPLT0009,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0009,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0009,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0009,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0009,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0009,Cây Phong Thủy
CCNCAT0008,CCNPLT0009,Cây Trong Bếp & Nhà Tắm
CCNCAT0004,CCNPLT0009,Cây Trong Nhà
CCNCAT0007,CCNPLT0009,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0010,Cây Cảnh Để Bàn
