id_category,all_category
CCNCAT0000,Cây Cảnh Để Bàn
CCNCAT0001,Cây Cảnh Văn Phòng
CCNCAT0002,Cây Lọc Không Khí
CCNCAT0003,Cây Phong Thủy
CCNCAT0004,Cây Trong Nhà
CCNCAT0005,Cây Cần Ít Ánh Sáng
CCNCAT0006,Cây Dễ Trồng Trong Nhà
CCNCAT0007,Cây Trong Phòng Khách
CCNCAT0008,Cây Trong Bếp & Nhà Tắm
CCNCAT0009,Cây Trang Trí Nhà Cửa
CCNCAT0010,Cây Trước Cửa & Hành Lang
CCNCAT0011,Cây Cao & Lớn Trong Nhà
CCNCAT0012,Cây Kiểng lá
CCNCAT0013,Cây Nhiệt Đới
CCNCAT0014,Cây Trồng Ban Công
CCNCAT0015,Cây Treo Trong Nhà
CCNCAT0016,Cây Thủy Sinh
CCNCAT0017,Cây Cảnh Mini
CCNCAT0018,Cây Có Hoa
CCNCAT0019,Cây Ngoài Trời
CCNCAT0020,Cây Trang Trí Ngoài Trời
CCNCAT0021,Uncategorized
CCNCAT0022,Cây Hàng Rào
CCNCAT0023,Cây Tầm Thấp
CCNCAT0024,Cây Dạng Bụi
CCNCAT0025,Cây Lá Kim
CCNCAT0026,Cây Trồng Viền
CCNCAT0027,Cây Lá Màu
CCNCAT0028,Cây Lá Rộng
CCNCAT0029,Cây Leo Dàn
CCNCAT0030,Cây Thân Đốt
CCNCAT0031,Cây Thường Xanh
CCNCAT0032,Cây Tầm Trung
CCNCAT0033,Cây Ăn Quả
CCNCAT0034,Cây Che Phủ Nền
CCNCAT0035,Cây Bóng Mát
CCNCAT0036,Cây Tán Hình Tròn
CCNCAT0037,Cỏ Cảnh
