POTID,ATTID,VALUE
CCNPOT0000,CCNATT0013,Bê tông sợi
CCNPOT0000,CCNATT0014,Remy (Trụ bo tròn)
CCNPOT0000,CCNATT0015,"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt"
CCNPOT0000,CCNATT0016,38x55x20 / 45x60x25 (DxC) (cm)
CCNPOT0000,CCNATT0017,/  (kg)
CCNPOT0000,CCNATT0009,Màu trắng
CCNPOT0000,CCNATT0019,Granito / Tezzo
CCNPOT0001,CCNATT0013,Bê tông sợi
CCNPOT0001,CCNATT0014,Remy (Trụ bo tròn)
CCNPOT0001,CCNATT0015,"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt"
CCNPOT0001,CCNATT0016,30×58 (cm)
CCNPOT0001,CCNATT0017,22  (kg)
CCNPOT0001,CCNATT0009,Màu trắng
CCNPOT0001,CCNATT0019,Granito / Tezzo
CCNPOT0002,CCNATT0013,Gốm sứ
CCNPOT0002,CCNATT0009,Màu trắng
CCNPOT0002,CCNATT0020,Trơn
CCNPOT0002,CCNATT0021,13×13 / 20×18 / 25×24 cm (DxC)
CCNPOT0003,CCNATT0013,Gốm sứ
CCNPOT0003,CCNATT0009,Màu trắng
CCNPOT0003,CCNATT0020,Trơn
CCNPOT0003,CCNATT0021,11×10 / 14×13 / 17x16cm (DxC)
CCNPOT0004,CCNATT0013,Gốm sứ
CCNPOT0004,CCNATT0009,Màu trắng
CCNPOT0004,CCNATT0020,Trơn
CCNPOT0004,CCNATT0021,10×9 / 14×13 / 17x16cm (DxC)
CCNPOT0005,CCNATT0013,Gốm sứ
CCNPOT0005,CCNATT0009,Màu trắng
CCNPOT0005,CCNATT0020,Trơn
CCNPOT0005,CCNATT0021,10×8.5 / 14×11.5 / 17×13.5cm (DxC)
CCNPOT0006,CCNATT0013,Gốm sứ
CCNPOT0006,CCNATT0009,Màu trắng
CCNPOT0006,CCNATT0020,Trơn
CCNPOT0006,CCNATT0021,"16×16 / 22,5×22,5 / 30x30cm (DxC)"
CCNPOT0007,CCNATT0013,Gốm sứ
CCNPOT0007,CCNATT0009,Màu trắng
CCNPOT0007,CCNATT0020,Gân sóng
CCNPOT0007,CCNATT0021,15x15cm / 20×20 / 25×25 (DxC)
CCNPOT0008,CCNATT0013,Gốm sứ
CCNPOT0008,CCNATT0009,Màu trắng
CCNPOT0008,CCNATT0020,Ô vuông nổi
CCNPOT0008,CCNATT0021,20x18cm / 25×22 / 30×25 (DxC)
CCNPOT0009,CCNATT0013,Bê tông sợi
CCNPOT0009,CCNATT0014,Remy (Trụ bo tròn)
CCNPOT0009,CCNATT0015,"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt"
CCNPOT0009,CCNATT0016,43×38 / 30×27 (cm)
CCNPOT0009,CCNATT0017,/  (kg)
CCNPOT0009,CCNATT0009,Màu trắng
CCNPOT0009,CCNATT0019,Granito / Tezzo
CCNPOT0010,CCNATT0013,Đất nung sơn
CCNPOT0010,CCNATT0009,Xám xanh
CCNPOT0010,CCNATT0020,Hoa trang trí
CCNPOT0010,CCNATT0021,30x30x20 / 20x20x15 / 18x18x12 cm
CCNPOT0011,CCNATT0013,Gốm sứ
CCNPOT0011,CCNATT0009,Màu trắng
CCNPOT0011,CCNATT0020,Ô vuông nổi
CCNPOT0011,CCNATT0021,20x18cm / 25×21 / 31×25 (DxC)
