POTID,CHẤT LIỆU,KIỂU DÁNG,GIA CỐ,QUY CÁCH SẢN PHẨM (RXC),TRỌNG LƯỢNG,MÀU SẮC,HOA VĂN,HỌA TIẾT,KÍCH THƯỚC,KÍCH THƯỚC 1 GL,KÍCH THƯỚC 3 GL,KÍCH THƯỚC 5 GL,KÍCH THƯỚC 7 GL,KÍCH THƯỚC 2 GL,KÍCH THƯỚC 4 GL,KÍCH THƯỚC 6 GL,KÍCH THƯỚC MIỆNG CHẬU,KÍCH THƯỚC ĐÁY CHẬU,CHIỀU CAO CHẬU,CHIỀU DÀI DÂY CHẬU,CÂN NẶNG,QUY CÁCH SẢN PHẨM,DUNG TÍCH
CCNPOT0000,Bê tông sợi,Remy (Trụ bo tròn),"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt",38x55x20 / 45x60x25 (DxC) (cm),/  (kg),Màu trắng,Granito / Tezzo,,,,,,,,,,,,,,,,
CCNPOT0001,Bê tông sợi,Remy (Trụ bo tròn),"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt",30×58 (cm),22  (kg),Màu trắng,Granito / Tezzo,,,,,,,,,,,,,,,,
CCNPOT0002,Gốm sứ,,,,,Màu trắng,,Trơn,13×13 / 20×18 / 25×24 cm (DxC),,,,,,,,,,,,,,
CCNPOT0003,Gốm sứ,,,,,Màu trắng,,Trơn,11×10 / 14×13 / 17x16cm (DxC),,,,,,,,,,,,,,
CCNPOT0004,Gốm sứ,,,,,Màu trắng,,Trơn,10×9 / 14×13 / 17x16cm (DxC),,,,,,,,,,,,,,
CCNPOT0005,Gốm sứ,,,,,Màu trắng,,Trơn,10×8.5 / 14×11.5 / 17×13.5cm (DxC),,,,,,,,,,,,,,
CCNPOT0006,Gốm sứ,,,,,Màu trắng,,Trơn,"16×16 / 22,5×22,5 / 30x30cm (DxC)",,,,,,,,,,,,,,
CCNPOT0007,Gốm sứ,,,,,Màu trắng,,Gân sóng,15x15cm / 20×20 / 25×25 (DxC),,,,,,,,,,,,,,
CCNPOT0008,Gốm sứ,,,,,Màu trắng,,Ô vuông nổi,20x18cm / 25×22 / 30×25 (DxC),,,,,,,,,,,,,,
CCNPOT0009,Bê tông sợi,Remy (Trụ bo tròn),"• Tấm lưới thủy tinh (GRC)
• Lót chống thấm bảo vệ 2 mặt",43×38 / 30×27 (cm),/  (kg),Màu trắng,Granito / Tezzo,,,,,,,,,,,,,,,,
