CATEGORYID,POTID,CATEGORY
CCNCAT0038,CCNPOT0000,Chậu Xi Măng
CCNCAT0039,CCNPOT0000,Kiểu Hình Bầu
CCNCAT0038,CCNPOT0001,Chậu Xi Măng
CCNCAT0039,CCNPOT0001,Kiểu Hình Bầu
CCNCAT0040,CCNPOT0002,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0002,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0003,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0003,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0004,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0004,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0005,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0005,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0006,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0006,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0007,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0007,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0008,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0008,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0009,Chậu Xi Măng
CCNCAT0039,CCNPOT0009,Kiểu Hình Bầu
CCNCAT0042,CCNPOT0010,Chậu Đất Nung
CCNCAT0041,CCNPOT0010,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0011,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0011,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0012,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0012,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0013,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0013,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0014,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0014,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0015,Chậu Xi Măng
CCNCAT0038,CCNPOT0016,Chậu Xi Măng
CCNCAT0043,CCNPOT0016,Kiểu Trụ Đứng
CCNCAT0038,CCNPOT0017,Chậu Xi Măng
CCNCAT0043,CCNPOT0017,Kiểu Trụ Đứng
CCNCAT0038,CCNPOT0018,Chậu Xi Măng
CCNCAT0041,CCNPOT0018,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0019,Chậu Xi Măng
CCNCAT0041,CCNPOT0019,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0020,Chậu Xi Măng
CCNCAT0041,CCNPOT0020,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0021,Chậu Xi Măng
CCNCAT0041,CCNPOT0021,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0022,Chậu Xi Măng
CCNCAT0041,CCNPOT0022,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0023,Chậu Xi Măng
CCNCAT0041,CCNPOT0023,Chậu Cây Cảnh
CCNCAT0038,CCNPOT0024,Chậu Xi Măng
CCNCAT0041,CCNPOT0024,Chậu Cây Cảnh
CCNCAT0040,CCNPOT0025,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0025,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0025,Chậu Mini Để Bàn
CCNCAT0040,CCNPOT0026,Chậu Gốm Sứ
CCNCAT0041,CCNPOT0026,Chậu Cây Cảnh
CCNCAT0044,CCNPOT0026,Chậu Mini Để Bàn
CCNCAT0038,CCNPOT0027,Chậu Xi Măng
CCNCAT0041,CCNPOT0027,Chậu Cây Cảnh
